occ_code,occ_titl,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_wpct10,h_wpct25,h_median,h_wpct75,h_wpct90,a_wpct10,a_wpct25,a_median,a_wpct75,a_wpct90,annual
00-0000,All Occupations,major,127523760,0.1,17.1,35560,0.2,6.95,8.93,13.31,20.84,31.2,14450,18580,27690,43340,64900,
11-0000,Management Occupations,major,7092460,0.3,37.92,78870,0.2,15.31,21.86,32.27,46.79,69.53,31850,45470,67120,97320,144620,
11-1011,Chief Executives,,452400,0.7,64.89,134960,0.3,24.83,38.88,60.7,#,#,51650,80860,126260,#,#,
11-1021,General and Operations Managers,,1998350,0.4,40.19,83590,0.2,15.72,21.98,32.8,50.47,#,32700,45720,68210,104970,#,
11-1031,Legislators,,64650,3.5,14.62,30420,2.2,5.83,6.34,7.32,18.53,33.36,12130,13180,15220,38540,69380,
11-2011,Advertising and Promotions Managers,,81090,1.2,33.27,69200,0.7,14.57,19.01,27.47,41.21,60.13,30310,39550,57130,85710,125070,
11-2021,Marketing Managers,,192080,1,41.91,87170,0.4,19.1,26.33,37.62,52.49,#,39730,54760,78250,109190,#,
11-2022,Sales Managers,,328060,0.7,41.4,86110,0.3,17.95,24.72,36.08,51.82,#,37340,51430,75040,107790,#,
11-2031,Public Relations Managers,,62640,1.9,33.59,69870,0.8,15.84,21.35,29.15,41.15,56.63,32960,44410,60640,85590,117780,
11-3011,Administrative Services Managers,,306370,0.8,28.54,59350,0.4,12.56,17.4,25.24,35.86,48.02,26120,36190,52500,74590,99870,
11-3021,Computer and Information Systems Managers,,264790,0.8,43.48,90440,0.3,22.81,30.84,40.98,52.86,67.52,47440,64150,85240,109950,140440,
11-3031,Financial Managers,,563020,0.9,39.94,83080,0.5,18.81,25.23,35.26,48.39,68.39,39120,52490,73340,100660,142260,
11-3040,Human Resources Managers,,193360,0.8,34.12,70960,0.3,17.44,22.8,31.11,42.36,54.95,36280,47420,64710,88100,114300,
11-3051,Industrial Production Managers,,173960,0.6,35.09,72980,0.3,18.74,24.38,32.37,42.73,55.17,38980,50710,67320,88880,114750,
11-3061,Purchasing Managers,,105010,0.8,31.85,66250,0.4,15.54,21,28.79,39.4,51.99,32330,43670,59890,81950,108140,
11-3071,"Transportation, Storage, and Distribution Managers",,107400,1,31.29,65070,0.4,16.5,21.78,28.68,37.8,48.51,34330,45290,59660,78620,100900,
11-9011,"Farm, Ranch, and Other Agricultural Managers",,5630,4.1,23.65,49200,1.3,11.74,15.68,21.03,28.52,38.99,24410,32620,43740,59330,81100,
11-9021,Construction Managers,,208360,1.4,34.24,71210,0.7,18.33,23.42,30.53,40.43,54.23,38130,48720,63500,84080,112810,
11-9031,"Education Administrators, Preschool and Child Care Center/Program",,52700,2,18.84,39190,1.4,9.58,12.12,16.03,22.48,32.53,19930,25200,33340,46760,67650,
11-9032,"Education Administrators, Elementary and Secondary School",,204340,0.9,*,74050,2,*,*,*,*,*,48700,58820,71490,87540,104870,TRUE
11-9033,"Education Administrators, Postsecondary",,96910,1.6,34.44,71630,0.8,17.26,22.62,31.08,42.36,55.87,35910,47050,64640,88110,116210,
11-9041,Engineering Managers,,205390,1,46.03,95750,0.3,27.81,34.85,43.71,54.83,67.97,57840,72480,90930,114050,141380,
11-9051,Food Service Managers,,249710,4.4,19.75,41090,5.7,10.46,13.42,17.21,22.65,32.45,21760,27910,35790,47120,67490,
11-9061,Funeral Directors,,21740,2.7,24.83,51650,2.5,12,16.13,20.85,27.95,40.42,24950,33540,43380,58140,84060,
11-9071,Gaming Managers,,3760,5.3,29.29,60910,1.4,14.9,19.91,26.12,34.92,47.39,30980,41410,54330,72630,98570,
11-9081,Lodging Managers,,31170,2.6,18.32,38110,0.9,9.81,12.55,16.33,21.48,28.57,20400,26110,33970,44670,59420,
11-9111,Medical and Health Services Managers,,228290,0.7,33.35,69370,0.4,18.01,23.03,29.5,38.53,52.44,37460,47910,61370,80150,109080,
11-9121,Natural Sciences Managers,,42470,2.2,43.46,90400,1.3,21.94,28.85,39.54,53.4,69.51,45640,60000,82250,111070,144590,
11-9131,Postmasters and Mail Superintendents,,26470,0,23.36,48590,0.1,16.88,19.46,23.34,26.95,31.95,35110,40470,48540,56050,66450,
11-9141,"Property, Real Estate, and Community Association Managers",,156290,2.2,22.3,46390,0.9,8.39,12.24,17.73,26.92,41.66,17450,25470,36880,56000,86650,
11-9151,Social and Community Service Managers,,111480,1.7,22.55,46900,1.2,12.12,15.59,20.71,27.17,35.28,25210,32430,43080,56520,73370,
13-0000,Business and Financial Operations Occupations,major,4772120,0.4,25.65,53350,0.2,13.12,17.05,22.77,30.78,41.29,27290,35470,47350,64020,85890,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,11590,12,33.16,68970,4,11.98,17.85,26.79,39.32,62.64,24910,37130,55730,81800,130290,
13-1021,"Purchasing Agents and Buyers, Farm Products",,16570,3,22.56,46930,1.2,11.47,15.09,19.66,26.65,36.89,23850,31390,40900,55440,76740,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",,138380,1.4,22.43,46650,0.7,11.19,14.44,19.6,26.77,36.57,23270,30040,40780,55670,76070,
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,231490,0.8,23.21,48270,0.3,13.44,16.74,21.68,28.26,35.57,27950,34820,45090,58780,73990,
13-1031,"Claims Adjusters, Examiners, and Investigators",,211960,1.8,22.11,45990,0.5,12.83,15.92,20.68,27.01,34.3,26680,33120,43020,56170,71350,
13-1032,"Insurance Appraisers, Auto Damage",,13270,5.4,20.97,43620,1,13.18,16.62,20.5,25.17,29.07,27410,34570,42630,52360,60470,
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",,146670,0.8,23.29,48450,0.4,13.19,16.62,21.54,27.98,35.84,27440,34570,44800,58190,74550,
13-1051,Cost Estimators,,185080,1,24.67,51310,0.4,13.79,17.52,22.86,29.83,38.1,28670,36440,47550,62040,79240,
13-1061,Emergency Management Specialists,,10700,3.6,22.75,47320,1.1,10.95,15.53,20.94,28.76,37.59,22780,32300,43560,59810,78180,
13-1071,"Employment, Recruitment, and Placement Specialists",,168550,1.5,22.14,46050,0.9,11.75,14.61,18.95,26.03,35.55,24440,30390,39410,54130,73940,
13-1072,"Compensation, Benefits, and Job Analysis Specialists",,85880,1.6,23.04,47920,0.5,13.54,16.83,21.68,27.52,34.74,28160,35000,45100,57230,72250,
13-1073,Training and Development Specialists,,198910,1.1,22.11,46000,0.4,11.91,15.41,20.58,27.35,34.87,24760,32050,42800,56890,72530,
13-1111,Management Analysts,,392670,1.9,33.73,70160,1.1,17.3,22.19,29.01,40.19,55.61,35990,46160,60340,83590,115670,
13-1121,Meeting and Convention Planners,,32380,3,19.72,41020,1,11.45,14.02,17.99,23.45,30.59,23820,29170,37420,48780,63630,
13-2011,Accountants and Auditors,,888690,0.9,25.59,53230,0.4,14.58,17.89,22.6,29.63,39.77,30320,37210,47000,61630,82730,
13-2021,Appraisers and Assessors of Real Estate,,57160,3.2,22.18,46120,1.5,10.34,14.24,20.08,27.71,36.48,21500,29620,41760,57630,75880,
13-2031,Budget Analysts,,58900,1.4,26.67,55470,0.6,16.62,20.19,25.23,31.82,39.77,34580,42000,52480,66180,82720,
13-2041,Credit Analysts,,65700,2.3,23.81,49530,1,12.62,15.7,20.63,27.87,38.02,26250,32650,42910,57970,79070,
13-2051,Financial Analysts,,159920,2.2,32.3,67180,1,16.62,20.99,27.45,36.84,51.95,34570,43660,57100,76620,108060,
13-2052,Personal Financial Advisors,,77010,4.1,37.72,78460,2.8,12.81,17.39,27.25,48.34,#,26650,36180,56680,100540,#,
13-2053,Insurance Underwriters,,95620,2.4,24.49,50940,0.9,13.86,16.92,21.92,29.27,38.17,28840,35190,45590,60890,79400,
13-2061,Financial Examiners,,23890,2.7,29.6,61570,1.3,15.38,19.79,27.03,36.61,47.91,31990,41160,56220,76160,99650,
13-2071,Loan Counselors,,29780,5.6,17.52,36450,1.2,10.96,12.66,15.39,20.03,27.6,22800,26330,32010,41660,57400,
13-2072,Loan Officers,,218470,1.3,25.08,52160,0.6,12.4,15.56,21.15,29.89,42.52,25790,32360,43980,62160,88450,
13-2081,"Tax Examiners, Collectors, and Revenue Agents",,69320,0.6,21.99,45730,0.4,11.51,15.03,20.31,28.69,35.87,23950,31250,42250,59670,74600,
13-2082,Tax Preparers,,54330,4.5,15.21,31630,2.1,7.08,8.41,12.32,18.35,26.78,14720,17480,25630,38180,55700,
15-0000,Computer and Mathematical Science Occupations,major,2772620,0.6,29.63,61630,0.3,15.26,20.64,28.13,37.12,46.01,31730,42930,58500,77220,95690,
15-1011,"Computer and Information Scientists, Research",,24410,3.6,38.71,80510,1,20.62,28.19,37.38,47.35,58.49,42890,58630,77760,98490,121650,
15-1021,Computer Programmers,,457320,1.3,30.62,63690,0.6,16.87,22.1,28.98,37.57,46.57,35080,45960,60290,78140,96860,
15-1031,"Computer Software Engineers, Applications",,356760,1.9,35.48,73800,0.7,21.55,26.69,34.09,42.63,52.79,44830,55510,70900,88660,109800,
15-1032,"Computer Software Engineers, Systems Software",,255040,2.2,36.46,75840,0.6,22.11,28.13,35.6,43.83,53.66,45980,58500,74040,91160,111600,
15-1041,Computer Support Specialists,,478560,1.3,20.35,42320,0.5,11.08,14.31,18.8,24.85,32.47,23060,29760,39100,51680,67550,
15-1051,Computer Systems Analysts,,467750,2.1,31.2,64890,0.5,18.88,23.8,30.24,37.67,44.9,39270,49500,62890,78350,93400,
15-1061,Database Administrators,,102090,1.5,28.41,59080,0.5,14.78,19.5,26.68,36.11,44.67,30750,40550,55480,75100,92910,
15-1071,Network and Computer Systems Administrators,,232560,1.3,27.7,57620,0.4,16.57,20.81,26.35,33.43,41.56,34460,43290,54810,69530,86440,
15-1081,Network Systems and Data Communications Analysts,,133460,2.2,29.51,61390,0.6,16.77,21.56,28.09,35.72,44.28,34880,44850,58420,74290,92110,
15-2011,Actuaries,,14440,3.9,38.84,80780,1.2,19.09,24.28,33.64,47.99,66.18,39700,50510,69970,99820,137650,
15-2021,Mathematicians,,2600,4.3,36.35,75610,2,18.72,27,36.77,44,54.22,38930,56160,76470,91520,112780,
15-2031,Operations Research Analysts,,56310,3.7,29.27,60890,0.9,16.42,20.78,27.36,35.8,44.44,34140,43220,56920,74460,92430,
15-2041,Statisticians,,17820,6.2,28.85,60000,2,14.6,19.48,27.44,36.78,44.08,30380,40510,57080,76500,91680,
15-2091,Mathematical Technicians,,1970,11.1,20.64,42920,2.3,11.65,14,17.56,23.06,35.52,24220,29120,36520,47970,73880,
17-0000,Architecture and Engineering Occupations,major,2411260,0.7,27.89,58020,0.3,14.6,19.52,26.39,34.87,43.63,30370,40600,54900,72530,90750,
17-1011,"Architects, Except Landscape and Naval",,87700,2.4,30.06,62530,1.3,17.44,21.17,27.22,35.8,44.4,36280,44030,56620,74460,92350,
17-1012,Landscape Architects,,17460,6.6,25.02,52050,2.5,13.81,17.38,22.79,30.03,38.28,28730,36140,47400,62470,79620,
17-1021,Cartographers and Photogrammetrists,,8040,5.2,21.72,45180,1.5,12.41,15.66,20.61,26.73,33.33,25810,32580,42870,55610,69320,
17-1022,Surveyors,,53340,2.6,20.5,42630,0.9,10.7,14.09,19.22,25.69,32.55,22260,29320,39970,53440,67700,
17-2011,Aerospace Engineers,,74210,6.6,35.63,74110,1.1,23.87,28.62,34.97,42.46,50.51,49640,59520,72750,88310,105060,
17-2021,Agricultural Engineers,,2500,19.8,26.79,55730,2.9,17.11,19.38,24.38,33.7,41.93,35590,40320,50700,70100,87220,
17-2031,Biomedical Engineers,,7130,5.5,30.97,64420,1.7,18.39,22.77,29.04,37.17,45.32,38250,47370,60410,77310,94270,
17-2041,Chemical Engineers,,32110,3.5,36.06,75010,1,23.3,28.04,34.85,42.71,51.69,48450,58320,72490,88830,107520,
17-2051,Civil Engineers,,207480,1.5,30.29,63010,0.4,19.21,23.25,28.88,35.91,43.75,39960,48360,60070,74700,91010,
17-2061,Computer Hardware Engineers,,67180,4.6,36.61,76150,1.1,22.21,27.16,34.69,44.1,55.23,46190,56490,72150,91730,114880,
17-2071,Electrical Engineers,,146180,2.3,33.88,70480,0.4,21.53,26.23,32.78,40.71,48.55,44780,54550,68180,84670,100980,
17-2072,"Electronics Engineers, Except Computer",,126020,4.5,34.43,71600,0.6,22.26,26.89,33.62,41.34,49.93,46310,55930,69930,85980,103860,
17-2081,Environmental Engineers,,45720,2.9,30.5,63440,0.7,18.58,22.91,29.52,37.19,44,38640,47650,61410,77360,91510,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,34160,3.9,28.77,59830,0.7,17.9,22.4,27.89,34.61,41.95,37230,46580,58010,71980,87250,
17-2112,Industrial Engineers,,151760,1.6,30.57,63590,0.3,19.41,24.12,29.88,36.27,43.47,40380,50160,62150,75440,90420,
17-2121,Marine Engineers and Naval Architects,,4810,8,32.83,68280,2.2,19.69,24.72,32.04,40.18,47.48,40950,51420,66650,83570,98760,
17-2131,Materials Engineers,,22780,3.2,30.92,64310,1,18.92,23.95,30.09,37.26,44.56,39360,49810,62590,77500,92690,
17-2141,Mechanical Engineers,,203620,1.9,31.33,65170,0.4,19.95,24.42,30.23,37.52,44.92,41490,50800,62880,78040,93430,
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,5050,8,31.14,64770,2.4,17.65,23.2,29.7,37.1,45.03,36720,48250,61770,77160,93660,
17-2161,Nuclear Engineers,,15180,5.9,39.57,82300,1.3,28.05,32.68,39.11,44.68,53.49,58350,67970,81350,92930,111260,
17-2171,Petroleum Engineers,,11130,10.1,41.13,85540,1.4,23.56,30.48,40.08,50.92,61.52,49010,63390,83370,105920,127950,
17-3011,Architectural and Civil Drafters,,101190,2.3,18.78,39060,0.6,11.81,14.5,17.95,21.9,27.05,24570,30170,37330,45550,56260,
17-3012,Electrical and Electronics Drafters,,35470,3.4,21.16,44020,0.8,12.36,15.42,19.76,25.69,32.69,25710,32060,41090,53440,68000,
17-3013,Mechanical Drafters,,68280,2.1,20.71,43080,0.9,12.48,15.43,19.58,24.97,31.15,25950,32100,40730,51950,64780,
17-3021,Aerospace Engineering and Operations Technicians,,14700,6.3,25.48,52990,1.1,16.74,20.55,24.83,29.54,35.33,34820,42740,51650,61440,73480,
17-3022,Civil Engineering Technicians,,88380,1.7,18.71,38910,0.6,11.1,13.96,18.13,22.72,27.36,23080,29030,37720,47260,56910,
17-3023,Electrical and Electronic Engineering Technicians,,194960,2,21.26,44210,0.4,12.87,16.23,20.65,25.58,30.8,26770,33760,42950,53200,64070,
17-3024,Electro-Mechanical Technicians,,30360,3.2,19.2,39930,0.7,11.52,14.51,18.33,22.7,28.13,23950,30190,38120,47210,58500,
17-3025,Environmental Engineering Technicians,,18770,3.8,18.93,39380,1,11.05,13.79,17.72,22.95,29.04,22980,28680,36850,47740,60390,
17-3026,Industrial Engineering Technicians,,59700,3.9,21.79,45310,0.9,13.2,15.98,20.15,26.14,33.9,27460,33230,41910,54370,70510,
17-3027,Mechanical Engineering Technicians,,53630,3.1,20.6,42850,0.5,13.03,15.96,19.85,24.51,29.18,27110,33190,41280,50970,60700,
17-3031,Surveying and Mapping Technicians,,55670,2.3,15.27,31760,0.7,8.89,10.88,14.05,18.78,23.55,18490,22640,29230,39070,48970,
19-0000,"Life, Physical, and Social Science Occupations",major,1078630,0.9,25.19,52380,0.5,11.92,16.03,22.29,31.21,42.43,24790,33340,46370,64920,88260,
19-1010,Agricultural and Food Scientists,,14920,3.5,25.38,52800,1.1,13.82,17.2,23.4,31.73,41.09,28750,35770,48670,65990,85460,
19-1021,Biochemists and Biophysicists,,15190,6,31.55,65620,2.1,16.31,20.72,29.03,39.46,49.49,33930,43110,60390,82080,102930,
19-1022,Microbiologists,,14730,3.5,26.78,55700,1.8,15.02,18.8,24.53,32.41,41.86,31250,39100,51020,67420,87060,
19-1023,Zoologists and Wildlife Biologists,,12970,3.4,23.68,49250,0.9,14.07,17.84,22.95,27.9,34.26,29260,37100,47740,58040,71270,
19-1031,Conservation Scientists,,13600,2.2,24.43,50820,0.6,14.73,18.89,24.2,29.54,34.02,30630,39300,50340,61440,70770,
19-1032,Foresters,,9760,1.9,23.11,48060,0.6,14.27,17.47,22.47,27.35,33.46,29690,36330,46730,56890,69600,
19-1041,Epidemiologists,,3760,17.8,27.98,58190,2.5,17.26,21.59,25.89,31.97,41.31,35910,44900,53840,66510,85930,
19-1042,"Medical Scientists, Except Epidemiologists",,53840,5.7,31.83,66200,2.4,14.41,19.32,27.4,39.77,55.12,29980,40180,56980,82720,114640,
19-2011,Astronomers,,900,7.6,38.71,80510,1.8,19.3,25.67,39.27,51.07,60.73,40140,53390,81690,106230,126320,
19-2012,Physicists,,11480,5,42.08,87530,1.6,24.21,32.06,40.88,51.64,62.14,50350,66680,85020,107410,129250,
19-2021,Atmospheric and Space Scientists,,7210,4.3,29.33,61000,1.5,14.53,19.22,28.94,36.96,44.44,30220,39970,60200,76880,92430,
19-2031,Chemists,,82050,2.5,27.72,57670,1,14.9,18.95,25.43,34.48,44.31,30980,39410,52890,71710,92170,
19-2032,Materials Scientists,,7090,4.4,32.33,67240,1.8,16.1,22.25,31.05,41.46,51.64,33480,46280,64590,86240,107400,
19-2041,"Environmental Scientists and Specialists, Including Health",,60380,2.1,24.51,50970,0.8,14.39,17.7,22.88,30,37.6,29920,36820,47600,62400,78200,
19-2042,"Geoscientists, Except Hydrologists and Geographers",,26130,10.8,37.83,78690,8.3,17.59,23.26,32.44,49.1,64.09,36580,48370,67470,102120,133310,
19-2043,Hydrologists,,7390,4.3,28.28,58820,1,17.69,21.19,27.18,33.73,41.65,36790,44080,56530,70160,86620,
19-3011,Economists,,13290,3.7,36.62,76180,2.8,18.6,24.31,32.96,43.61,57.9,38690,50560,68550,90710,120440,
19-3021,Market Research Analysts,,122000,2.3,28.97,60260,1.2,14.13,18.63,25.87,36.69,48.16,29390,38760,53810,76310,100160,
19-3022,Survey Researchers,,18350,6.2,14.6,30360,3.7,7.28,8.29,10.67,18.52,27.44,15140,17250,22200,38530,57080,
19-3031,"Clinical, Counseling, and School Psychologists",,100560,1.8,27.18,56540,1.2,14.47,18.54,24.6,32.2,41.86,30090,38560,51170,66970,87060,
19-3032,Industrial-Organizational Psychologists,,1360,11.8,33.49,69670,2.1,17.61,23.34,30.63,39.37,54.16,36620,48540,63710,81880,112660,
19-3041,Sociologists,,2630,12.3,27.17,56520,4.1,13.23,18.42,25.56,34.73,43.55,27520,38320,53160,72230,90580,
19-3051,Urban and Regional Planners,,30460,2.3,24.98,51960,0.7,15.31,18.85,23.98,30.15,36.87,31830,39210,49880,62710,76700,
19-3091,Anthropologists and Archeologists,,4410,6.8,20.38,42380,2.1,11.31,13.62,18.57,25.43,32.57,23520,28320,38620,52900,67740,
19-3092,Geographers,,740,7.7,26.1,54290,1.2,15.7,20.2,25.68,31.91,37.66,32660,42020,53420,66370,78330,
19-3093,Historians,,2110,6.6,21.68,45090,2.9,10.93,14.43,20.21,27.96,35.93,22740,30010,42030,58160,74730,
19-3094,Political Scientists,,5300,7.4,38.48,80040,3.2,18.54,25.54,38.73,50.43,59.93,38560,53130,80560,104880,124660,
19-4011,Agricultural and Food Science Technicians,,15990,3.4,14.91,31010,1,8.78,10.82,13.74,17.81,23.1,18270,22510,28580,37040,48060,
19-4021,Biological Technicians,,45630,2.7,16.65,34630,0.6,10.22,12.49,15.73,19.98,24.81,21250,25980,32710,41550,51590,
19-4031,Chemical Technicians,,67230,3.4,18.7,38890,0.7,10.98,13.92,18,22.87,27.54,22840,28950,37430,47570,57280,
19-4041,Geological and Petroleum Technicians,,10690,9.3,19.94,41470,1.7,9.94,14.46,18.96,24.87,30.38,20670,30070,39430,51740,63190,
19-4051,Nuclear Technicians,,5620,8.9,29.43,61220,1.6,19.07,23.94,28.84,34.55,42.65,39670,49790,59990,71860,88710,
19-4091,"Environmental Science and Protection Technicians, Including Health",,26380,2.9,17.96,37370,0.7,10.24,13.28,16.98,21.85,27.13,21290,27610,35320,45440,56430,
19-4092,Forensic Science Technicians,,7830,3.3,20.81,43280,0.9,12.06,15.2,19.73,25.35,31.49,25080,31620,41040,52730,65500,
19-4093,Forest and Conservation Technicians,,17160,1.4,15.72,32700,0.3,9.67,11.68,14.9,18.94,22.48,20110,24300,30980,39390,46750,
21-0000,Community and Social Services Occupations,major,1576980,0.7,16.65,34630,0.6,8.94,11.49,15.24,20.59,26.64,18590,23900,31690,42830,55410,
21-1011,Substance Abuse and Behavioral Disorder Counselors,,63310,2.4,15.32,31860,0.7,9.4,11.71,14.51,18.04,21.91,19540,24350,30180,37520,45570,
21-1012,"Educational, Vocational, and School Counselors",,208340,1,22.19,46160,1.5,11.99,15.94,21.2,27.29,33.81,24930,33160,44100,56770,70320,
21-1013,Marriage and Family Therapists,,22130,10.6,18.45,38370,4.3,10.08,12.88,17.11,21.45,28.38,20960,26790,35580,44620,59030,
21-1014,Mental Health Counselors,,81030,3.2,15.77,32800,0.7,9.5,11.51,14.39,18.83,24.12,19760,23950,29940,39160,50170,
